2026-04-14 15:17:13 | INFO | Starting server on 0.0.0.0:8081
2026-04-14 15:17:13 | INFO | Server configuration complete.
2026-04-14 15:17:13 | INFO | Starting Uvicorn server...
2026-04-14 15:17:13 | INFO | Initializing MLX handler with model path: /Users/juanjosearevalocamargo/Desktop/models/gemma4-e4b
2026-04-14 15:17:17 | INFO | Initialized MLXHandler with model path: /Users/juanjosearevalocamargo/Desktop/models/gemma4-e4b
2026-04-14 15:17:17 | INFO | Inference worker thread started
2026-04-14 15:17:17 | INFO | Initialized MLXVLMHandler and started inference worker
2026-04-14 15:17:17 | INFO | MLX handler initialized successfully
2026-04-14 16:31:59 | INFO | Resized image to 201x448 from 576x1280
2026-04-14 16:32:18 | INFO | Starting server on 0.0.0.0:8081
2026-04-14 16:32:18 | INFO | Server configuration complete.
2026-04-14 16:32:18 | INFO | Starting Uvicorn server...
2026-04-14 16:32:18 | INFO | Initializing MLX handler with model path: /Users/juanjosearevalocamargo/Desktop/models/gemma4-e4b
2026-04-14 16:32:23 | INFO | Initialized MLXHandler with model path: /Users/juanjosearevalocamargo/Desktop/models/gemma4-e4b
2026-04-14 16:32:23 | INFO | Inference worker thread started
2026-04-14 16:32:23 | INFO | Initialized MLXVLMHandler and started inference worker
2026-04-14 16:32:23 | INFO | MLX handler initialized successfully
2026-04-15 06:36:49 | INFO | Shutting down application
2026-04-15 06:36:49 | INFO | Cleaning up resources
2026-04-15 06:36:49 | INFO | Cleaning up MLXVLMHandler resources
2026-04-15 06:36:49 | INFO | Inference worker thread stopped
2026-04-15 06:36:50 | INFO | MLXVLMHandler cleanup completed successfully
2026-04-15 06:36:50 | INFO | Resources cleaned up successfully
2026-04-15 06:39:55 | INFO | Starting server on 0.0.0.0:8081
2026-04-15 06:39:55 | INFO | Server configuration complete.
2026-04-15 06:39:55 | INFO | Starting Uvicorn server...
2026-04-15 06:39:55 | INFO | Initializing MLX handler with model path: /Users/juanjosearevalocamargo/Desktop/models/gemma4-e4b
2026-04-15 06:40:07 | INFO | Initialized MLXHandler with model path: /Users/juanjosearevalocamargo/Desktop/models/gemma4-e4b
2026-04-15 06:40:07 | INFO | Inference worker thread started
2026-04-15 06:40:07 | INFO | Initialized MLXVLMHandler and started inference worker
2026-04-15 06:40:07 | INFO | MLX handler initialized successfully
2026-04-15 06:44:17 | INFO | Shutting down application
2026-04-15 06:44:17 | INFO | Cleaning up resources
2026-04-15 06:44:17 | INFO | Cleaning up MLXVLMHandler resources
2026-04-15 06:44:17 | INFO | Inference worker thread stopped
2026-04-15 06:44:17 | INFO | MLXVLMHandler cleanup completed successfully
2026-04-15 06:44:17 | INFO | Resources cleaned up successfully
2026-04-15 06:45:40 | INFO | Starting server on 0.0.0.0:8081
2026-04-15 06:45:40 | INFO | Server configuration complete.
2026-04-15 06:45:40 | INFO | Starting Uvicorn server...
2026-04-15 06:45:40 | INFO | Initializing MLX handler with model path: /Users/juanjosearevalocamargo/Desktop/models/gemma4-e4b
2026-04-15 06:45:47 | INFO | Initialized MLXHandler with model path: /Users/juanjosearevalocamargo/Desktop/models/gemma4-e4b
2026-04-15 06:45:47 | INFO | Inference worker thread started
2026-04-15 06:45:47 | INFO | Initialized MLXVLMHandler and started inference worker
2026-04-15 06:45:47 | INFO | MLX handler initialized successfully
2026-04-15 06:45:58 | INFO | Shutting down application
2026-04-15 06:45:58 | INFO | Cleaning up resources
2026-04-15 06:45:58 | INFO | Cleaning up MLXVLMHandler resources
2026-04-15 06:45:58 | INFO | Inference worker thread stopped
2026-04-15 06:45:58 | INFO | MLXVLMHandler cleanup completed successfully
2026-04-15 06:45:58 | INFO | Resources cleaned up successfully
2026-04-15 06:47:40 | INFO | Starting server on 0.0.0.0:8081
2026-04-15 06:47:40 | INFO | Server configuration complete.
2026-04-15 06:47:40 | INFO | Starting Uvicorn server...
2026-04-15 06:47:40 | INFO | Initializing MLX handler with model path: /Users/juanjosearevalocamargo/Desktop/models/gemma4-e4b
2026-04-15 06:47:45 | INFO | Initialized MLXHandler with model path: /Users/juanjosearevalocamargo/Desktop/models/gemma4-e4b
2026-04-15 06:47:45 | INFO | Inference worker thread started
2026-04-15 06:47:45 | INFO | Initialized MLXVLMHandler and started inference worker
2026-04-15 06:47:45 | INFO | MLX handler initialized successfully
2026-04-15 06:52:13 | INFO | Shutting down application
2026-04-15 06:52:13 | INFO | Cleaning up resources
2026-04-15 06:52:13 | INFO | Cleaning up MLXVLMHandler resources
